NAME_MAP_PID, NAME_STYLE_PID, PART_NO, LABEL_PID, INSERT_TSTMP, UPDATE_TSTMP, TABLE_ID
1, 1, 1, 6, "2019-02-27 08:53:09.69", "2019-02-27 08:53:09.69", 13
2, 1, 2, 7, "2019-02-27 08:53:09.696", "2019-02-27 08:53:09.696", 13
3, 1, 3, 8, "2019-02-27 08:53:09.701", "2019-02-27 08:53:09.701", 13
4, 1, 4, 9, "2019-02-27 08:53:09.708", "2019-02-27 08:53:09.708", 13
5, 1, 5, 10, "2019-02-27 08:53:09.716", "2019-02-27 08:53:09.716", 13
6, 2, 1, 12, "2019-02-28 13:17:32.507", "2019-02-28 13:17:32.507", 13
7, 2, 2, 13, "2019-02-28 13:17:32.515", "2019-02-28 13:17:32.515", 13
8, 2, 3, 14, "2019-02-28 13:17:32.522", "2019-02-28 13:17:32.522", 13
9, 2, 4, 15, "2019-02-28 13:17:32.527", "2019-02-28 13:17:32.527", 13
10, 2, 5, 16, "2019-02-28 13:17:32.535", "2019-02-28 13:17:32.535", 13     
